ID,Name [text],Bio [text],Website [link],Social [link],Connections to institution [text]
P001,Roger Coleman,Roger Coleman is Professor Emeritus at the Royal College of Art and a pioneer of inclusive design.  ,https://en.wikipedia.org/wiki/Roger_Coleman_(professor),,
P002,Jeremy Myerson ,"Jeremy Myerson is Professor Emeritus at the Royal College of Art. He has been academic, author and activist in design for more than 40 years and co-founded the Helen Hamlyn Centre for Design in 1999.",https://www.rca.ac.uk/more/staff/jeremy_myerson/,,
P003,Chris McGinley ,"Chris McGinley is a Senior Research Fellow and Reader in Inclusive Design at the Helen Hamlyn Centre for Design, Royal College of Art. His conducts research on ageing and diversity. ",https://www.rca.ac.uk/more/staff/chris-mcginley/,,Allies and Morrison; International - Design for All Europe (EIDD); GLobal Disability Innovation Hub (GDI Hub); Guinness/Vivensa; Clarion Futures; Wellcome Trust
P004,Gail Ramster ,"Gail Ramster is a Senior Research Associate at the Helen Hamlyn Centre for Design, Royal College of Art. Her research addresses social challenges through participatory and co-design methods with citizens and communities.",https://www.rca.ac.uk/more/staff/gail-ramster/,,"Essity (Tork); London Loo Alliance: made up of Age UK London, Crohns’ & Colitis UK, British Toilet Association, civic and community groups, unions, with links to London Assembly; Age UK London; University of Aberdeen Health Economics Research Unit"
P005,Katie Gaudion,"Katie Gaudion is a Senior Research Associate at the Helen Hamlyn Centre for Design, Royal College of Art. Her work celebrates neurodiversity.",https://www.rca.ac.uk/more/staff/dr-katie-gaudion/,,University of Trieste; IE University (Madrid) – MA Interior Design; Boras University; Buro Happold; Autism at Kingwood; Heart n Soul; Road Safety Foundation; Transport for London (TfL); University College London (UCL); Crown Paints
P006,Ninela Ivanova,"Ninela is an Innovation Fellow at the Helen Hamlyn Centre for Design, Royal College of Art. She is an interdisciplinary designer, researcher and innovation lead.",https://www.rca.ac.uk/more/staff/dr-ninela-ivanova/,,"Design Management Institute; TATA Consultancy Services; Unilever; OnePlus Technologies; Adidas; Kingfisher / B&Q; Northumbrian Water Group; Lloyds Banking Group; Westminster City Council; Royal Borough of Kensington & Chelsea; Fair by Design; University of Roehampton; Winchester School of Art, Southampton University; Queen’s University Belfast; University of Bristol"
P007,Melanie Flory,"Melanie Flory is Associate Director (Research) at the Helen Hamlyn Centre for Design, Royal College of Art. She is a psychologist and neuroscientist whose research enquiry is at the intersection of design, systems thinking and cognitive neuroscience.",https://www.rca.ac.uk/more/staff/melanie-flory/,,Ategi; South London and Maudsley NHS Foundation Trust; University of Reading;
P008,Claire Craig ,Claire Craig is Helen Hamlyn Co-chair of Design and Processor of Inclusive Design for Ageing. She is a qualified occupational therapist whose research and creative practice focuses on the role of design in promoting quality of life. ,https://www.rca.ac.uk/more/staff/professor-claire-craig/,,
P009,Paul Chamberlain,"Paul Chamberlain is Professor of Design and Co-chair of the Helen Hamlyn Centre for Design, His research explores the role of the designed environment in supporting quality of life. ",https://www.rca.ac.uk/more/staff/professor-paul-chamberlain/,,
P010,Hua Dong ,Hua Dong is Director of Helen Hamlyn Centre for Design and Professor of Design at Royal College of Art. Her research focuses on using inclusive design to empower individuals and improve people's lives.,,,"University of Cambridge, Brunel University of London, Loughborough University, Tongji University, Shanghai Jiaotong University, Jiangnan University, Donghua University, Southwest Jiaotong University, Hunan University, Tianjin University, Zhejiang University of Technology, University of Madcow, Mimar Sinan Fine Arts University, ISTON, WAAG, University of Limerick, Inova+, Future8, KU Leuven, Design Research Society, International Association of Societies of Design Research, Shanghai Industrial Design Association, Chinese Ergonomics Society, University for the Creative Arts, Association of British Chinese Professors, Tsinghua University, Shanghai Theatre Academy, Creative Industries Policy and Evidence Centre, Indian Institute Science Bangalore, Bosideng, Alibaba, PearsonLloyd, Design Museum of Zurich, Technische Universität Braunschweig, Universita Degli Studi Di Firenze, New Materialist, Thomas More Kempen VZW, TU Delft, SAD Mechelen, Gemeente Zoersel, Rooiljn"